product_id,name,description,price,availability,category_id
1,Even,Matter morning responsibility score great notice successful include.,309.63,False,2
2,Tax,Who cup outside.,183.7,True,5
3,After,Her however why town home.,474.67,True,9
4,I,Interesting threat south country role nearly.,276.47,True,3
5,Hold,Might computer either including rest school garden.,334.56,False,10
6,Real,Keep maybe news artist.,38.69,True,10
7,Standard,Property available mission.,240.38,True,8
8,Per,Section vote eight represent crime soon.,164.8,True,10
9,Method,Hot travel education onto world fact.,164.6,True,6
10,Follow,Doctor east begin bed.,86.49,True,9
11,That,Week add method crime policy.,406.71,True,6
12,Say,Ago eat according memory response condition.,342.43,False,1
13,Scene,Especially reduce just.,486.79,False,4
14,Well,Trouble ability into walk.,144.07,False,4
15,Garden,Argue smile reality I.,25.54,False,1
16,Simple,Brother that course when magazine line admit.,170.18,False,6
17,Town,Wear position sound design.,31.11,False,9
18,Plan,Yeah already hundred outside worry plant.,428.66,True,10
19,First,Whether authority art environment.,45.94,True,1
20,View,Month pretty Republican article she husband training.,88.77,True,8
21,Western,Herself star put memory can usually.,98.83,False,2
22,Pull,Five foot hear off politics send theory.,95.97,False,10
23,Ten,Look recently role pattern everything half allow thank.,214.54,False,1
24,Series,Here rock else camera letter.,403.32,False,5
25,Girl,Data stand whole worker before must.,219.31,False,8
26,Maybe,Assume continue executive hard.,294.42,True,2
27,Commercial,Seek then cell risk.,328.31,True,6
28,Age,Race worry home discuss worker.,36.19,True,5
29,At,But discover line when piece participant none indeed.,209.76,True,9
30,View,Past significant trade hit may.,293.5,True,4
31,Last,Week if effect tend significant may.,31.68,False,4
32,Sign,Possible technology the remain.,211.76,True,2
33,Upon,Take soon thing remain question.,316.02,True,5
34,Born,Run receive reduce trial style.,371.29,False,8
35,Everyone,Total lay mission.,163.35,True,6
36,Along,They scientist tax computer field inside finish.,308.73,False,10
37,Blue,Expert large both grow policy wife.,230.65,True,4
38,Begin,Sense technology no like.,61.22,False,7
39,Before,Office three reason hard bar his.,108.05,True,3
40,Strong,Eat threat participant return place no.,264.52,True,1
41,Thousand,City miss that senior security throw administration.,260.2,False,1
42,Begin,Data effect always father choose rather.,178.11,False,5
43,Author,Cause hospital everybody film.,131.89,True,4
44,Word,Research raise safe week likely.,325.66,True,4
45,Pull,Happy dark situation Congress oil.,39.45,True,2
46,Early,Challenge Congress through.,371.31,False,2
47,Middle,President public reality ability.,391.61,True,6
48,Chance,Challenge war there morning subject I.,458.81,False,8
49,Seek,Adult center environment physical task technology which similar.,87.65,True,5
50,Stock,Person team adult for she successful.,379.59,False,2
